state,state_abb,lat_state,long_state
Wisconsin,WI,44.5,-89.5
West Virginia,WV,39,-80.5
Vermont,VT,44,-72.699997
Texas,TX,31,-100
South Dakota,SD,44.5,-100
Rhode Island,RI,41.700001,-71.5
Oregon,OR,44,-120.5
New York,NY,43,-75
New Hampshire,NH,44,-71.5
Nebraska,NE,41.5,-100
Kansas,KS,38.5,-98
Mississippi,MS,33,-90
Illinois,IL,40,-89
Delaware,DE,39,-75.5
Connecticut,CT,41.599998,-72.699997
Arkansas,AR,34.799999,-92.199997
Indiana,IN,40.273502,-86.126976
Missouri,MO,38.573936,-92.60376
Florida,FL,27.994402,-81.760254
Nevada,NV,39.876019,-117.224121
Maine,ME,45.367584,-68.972168
Michigan,MI,44.182205,-84.506836
Georgia,GA,33.247875,-83.441162
Hawaii,HI,19.741755,-155.844437
Alaska,AK,66.160507,-153.369141
Tennessee,TN,35.860119,-86.660156
Virginia,VA,37.926868,-78.024902
New Jersey,NJ,39.833851,-74.871826
Kentucky,KY,37.839333,-84.27002
North Dakota,ND,47.650589,-100.437012
Minnesota,MN,46.39241,-94.63623
Oklahoma,OK,36.084621,-96.921387
Montana,MT,46.96526,-109.533691
Washington,WA,47.751076,-120.740135
Utah,UT,39.41922,-111.950684
Colorado,CO,39.113014,-105.358887
Ohio,OH,40.367474,-82.996216
Alabama,AL,32.31823,-86.902298
Iowa,IA,42.032974,-93.581543
New Mexico,NM,34.307144,-106.018066
South Carolina,SC,33.836082,-81.163727
Pennsylvania,PA,41.203323,-77.194527
Arizona,AZ,34.048927,-111.093735
Maryland,MD,39.045753,-76.641273
Massachusetts,MA,42.407211,-71.382439
California,CA,36.778259,-119.417931
Idaho,ID,44.068203,-114.742043
Wyoming,WY,43.07597,-107.290283
North Carolina,NC,35.782169,-80.793457
Louisiana,LA,30.39183,-92.329102
"Washington, D.C.",DC,38.9072,-77.0369
Puerto Rico,PR,18.2208,-66.5901
Virgin Islands,VI,18.3358,-64.8963
Guam,GU,13.4443,144.7937
Northern Mariana Islands,MP,15.0979,145.6739
